"state","location","type","so2","no2","rspm","pm2_5","date"
"Gujarat","Surat","Residential",16,22,76,28,"2014-10-04"
"Gujarat","Surat","Industrial",14,18,84,32,"2014-10-04"
"Gujarat","Surat","Residential",16,20,103,36,"2014-10-04"
"Gujarat","Vadodara","Industrial",21,23,92,43,"2014-10-04"
"Gujarat","Vadodara","Residential",17,20,84,31,"2014-10-04"
"Gujarat","Vadodara","Residential",17,23,83,28,"2014-10-04"
"Gujarat","Vapi","Residential",14,21,97,35,"2014-10-04"
"Gujarat","Vapi","Industrial",15,21,95,29,"2014-10-04"
"Odisha","Bhubaneswar","Residential",2,15,68,67,"2014-10-04"
"Odisha","Cuttack","Residential",2,34,127,46,"2014-10-04"
"Telangana","Sangareddy","Industrial",4.2,60.4,80,40,"2014-10-04"
"Madhya Pradesh","Bhopal","Industrial",2,19,114,31,"2014-10-05"
"Odisha","Cuttack","Residential",2,31,113,42,"2014-10-05"
"Telangana","Sangareddy","Industrial",7.5,88.6,42,47,"2014-10-05"
"Gujarat","Jamnagar","Residential",13.75,22,116,51,"2014-10-06"
"Odisha","Cuttack","Residential",2,22,61,34,"2014-10-06"
"Odisha","Paradeep","Industrial",12,13,53,19,"2014-10-06"
"Odisha","Paradeep","Residential",13,12,52,26,"2014-10-06"
"Odisha","Paradeep","Residential",12,12,58,18,"2014-10-06"
"Telangana","Sangareddy","Industrial",2,44.4,41,20,"2014-10-06"
"Gujarat","Ahmedabad","Industrial",13.61666667,20.91666667,101,42,"2014-10-07"
"Gujarat","Ahmedabad","Residential",13,20,95,39,"2014-10-07"
"Gujarat","Ahmedabad","Residential",11,18,76,24,"2014-10-07"
"Gujarat","Ahmedabad","Residential",13,20,91,36,"2014-10-07"
"Gujarat","Ahmedabad","Industrial",12,19,76,33,"2014-10-07"
"Gujarat","Ankleshwar","Residential",16,23,108,34,"2014-10-07"
"Gujarat","Ankleshwar","Industrial",15,23,98,28,"2014-10-07"
"Gujarat","Rajkot","Industrial",14,21,104,45,"2014-10-07"
"Gujarat","Rajkot","Residential",10,16,84,39,"2014-10-07"
"Gujarat","Surat","Residential",12,20,85,26,"2014-10-07"
"Gujarat","Surat","Industrial",15,23,97,38,"2014-10-07"
"Gujarat","Surat","Residential",12,20,82,26,"2014-10-07"
"Gujarat","Vadodara","Industrial",15,24,99,39,"2014-10-07"
"Gujarat","Vadodara","Residential",13,21,85,31,"2014-10-07"
"Gujarat","Vadodara","Residential",13,21,72,26,"2014-10-07"
"Gujarat","Vapi","Residential",15,22,99,32,"2014-10-07"
"Gujarat","Vapi","Industrial",14,22,100,32,"2014-10-07"
"Odisha","Bhubaneswar","Residential",2,16,48,4,"2014-10-07"
"Odisha","Bhubaneswar","Residential",2,12,56,16,"2014-10-07"
"Odisha","Cuttack","Residential",3,33,86,44,"2014-10-07"
"Telangana","Sangareddy","Industrial",1.9,41.4,22,7,"2014-10-07"
"Odisha","Bhubaneswar","Residential",2,15,43,10,"2014-10-08"
"Telangana","Sangareddy","Industrial",2.6,37.8,41,10,"2014-10-08"
"Madhya Pradesh","Bhopal","Residential",2,22,108,5,"2014-10-09"
"Odisha","Bhubaneswar","Residential",2,18,75,19,"2014-10-09"
"Odisha","Cuttack","Residential",2,31,68,30,"2014-10-09"
"Telangana","Sangareddy","Industrial",2.9,31,32,11,"2014-10-09"
"Madhya Pradesh","Bhopal","Residential",2,23,110,26,"2014-10-10"
"Odisha","Bhubaneswar","Residential",2,20,43,25,"2014-10-10"
"Odisha","Cuttack","Residential",3,24,60,34,"2014-10-10"
"Odisha","Paradeep","Industrial",6,7,118,63,"2014-10-10"
"Odisha","Paradeep","Residential",10,11,38,14,"2014-10-10"
"Telangana","Sangareddy","Industrial",14.7,46.9,139,54,"2014-10-10"
"Gujarat","Ankleshwar","Residential",14,22,87,31,"2014-10-11"
"Gujarat","Ankleshwar","Industrial",13,22,94,30,"2014-10-11"
"Madhya Pradesh","Bhopal","Industrial",2,11,175,132,"2014-10-11"
"Odisha","Cuttack","Residential",3,32,135,72,"2014-10-11"
"Telangana","Sangareddy","Industrial",6.7,53,98,57,"2014-10-11"
"Madhya Pradesh","Bhopal","Residential",2,11,148,37,"2014-10-12"
"Odisha","Cuttack","Residential",2,25,107,52,"2014-10-12"
"Odisha","Paradeep","Residential",8,11,69,42,"2014-10-12"
"Telangana","Sangareddy","Industrial",4.1,47.1,146,96,"2014-10-12"
"Gujarat","Ankleshwar","Residential",14,21,90,31,"2014-10-13"
"Gujarat","Ankleshwar","Industrial",14,23,99,30,"2014-10-13"
"Odisha","Cuttack","Residential",3,29,60,38,"2014-10-13"
"Telangana","Sangareddy","Industrial",2.7,36.9,97,31,"2014-10-13"
"Odisha","Cuttack","Residential",2,24,48,30,"2014-10-14"
"Telangana","Sangareddy","Industrial",6.2,49.5,94,38,"2014-10-14"
"Madhya Pradesh","Bhopal","Residential",2,13,152,47,"2014-10-15"
"Odisha","Bhubaneswar","Residential",2,15,56,43,"2014-10-15"
"Odisha","Bhubaneswar","Residential",2,22,98,22,"2014-10-15"
"Odisha","Cuttack","Residential",4,28,52,25,"2014-10-15"
"Odisha","Cuttack","Residential",2,30,61,30,"2014-10-15"
"Telangana","Sangareddy","Industrial",3.6,31.9,74,45,"2014-10-15"
"Gujarat","Ankleshwar","Residential",13,21,79,27,"2014-10-16"
"Gujarat","Ankleshwar","Industrial",16,24,87,31,"2014-10-16"
"Madhya Pradesh","Bhopal","Residential",8.08222107401066,22.5922759331576,91.7796692607069,17,"2014-10-17"
"Odisha","Bhubaneswar","Residential",2,14,56,30,"2014-10-17"
"Odisha","Bhubaneswar","Residential",2,19,67,25,"2014-10-17"
"Odisha","Cuttack","Residential",3,24,48,34,"2014-10-17"
"Odisha","Paradeep","Industrial",11,11,94,23,"2014-10-17"
"Odisha","Paradeep","Residential",10,11,43,16,"2014-10-17"
"Telangana","Sangareddy","Industrial",11.8,35,52,21,"2014-10-17"
"Odisha","Cuttack","Residential",2,29,55,39,"2014-10-18"
"Telangana","Sangareddy","Industrial",3.4,35.6,48,22,"2014-10-18"
"Telangana","Sangareddy","Industrial",4.2,38,49,22,"2014-10-19"
"Gujarat","Ankleshwar","Residential",13,20,92,34,"2014-10-20"
"Gujarat","Ankleshwar","Industrial",13,22,97,33,"2014-10-20"
"Madhya Pradesh","Bhopal","Industrial",2,12,174,32,"2014-10-20"
"Odisha","Cuttack","Residential",3,29,70,43,"2014-10-20"
"Odisha","Paradeep","Industrial",13,11,140,37,"2014-10-20"
"Odisha","Paradeep","Residential",11,11,120,39,"2014-10-20"
"Telangana","Sangareddy","Industrial",3.9,41.7,76,33,"2014-10-20"
"Odisha","Bhubaneswar","Residential",2,30,90,30,"2014-10-21"
"Odisha","Bhubaneswar","Residential",2,25,191,26,"2014-10-21"
"Odisha","Cuttack","Residential",2,25,53,34,"2014-10-21"
"Telangana","Sangareddy","Industrial",5,41.4,83,41,"2014-10-21"
"Madhya Pradesh","Bhopal","Residential",2,19,159,47,"2014-10-22"
"Telangana","Sangareddy","Industrial",2.6,42.7,40,27,"2014-10-22"
"Gujarat","Ankleshwar","Residential",14,21,85,32,"2014-10-23"
"Gujarat","Ankleshwar","Industrial",16,23,116,38,"2014-10-23"
"Odisha","Bhubaneswar","Residential",5,24,262,165,"2014-10-23"
"Odisha","Bhubaneswar","Residential",29,33,529,214,"2014-10-23"
"Odisha","Cuttack","Residential",7,27,218,161,"2014-10-23"
"Odisha","Cuttack","Residential",9,47,226,172,"2014-10-23"
"Odisha","Cuttack","Residential",6,37,142,90,"2014-10-23"
"Telangana","Sangareddy","Industrial",6.8,38,101,48,"2014-10-24"
"Madhya Pradesh","Bhopal","Industrial",2,18,67,59,"2014-10-25"
"Odisha","Cuttack","Residential",2,29,54,34,"2014-10-25"
"Telangana","Sangareddy","Industrial",5.8,44.4,94,49,"2014-10-25"
"Telangana","Sangareddy","Industrial",8,48.8,82,51,"2014-10-26"
"Gujarat","Ankleshwar","Residential",12,20,81,29,"2014-10-27"
"Gujarat","Ankleshwar","Industrial",13,22,93,29,"2014-10-27"
"Madhya Pradesh","Bhopal","Industrial",2,19,136,162,"2014-10-27"
"Odisha","Bhubaneswar","Residential",2,16,53,23,"2014-10-27"
"Odisha","Bhubaneswar","Residential",2,23,104,40,"2014-10-27"
"Odisha","Cuttack","Residential",3,31,93,59,"2014-10-27"
"Telangana","Sangareddy","Industrial",8.1,51.9,74,35,"2014-10-27"
"Odisha","Cuttack","Residential",2,24,55,34,"2014-10-28"
"Odisha","Paradeep","Industrial",9,12,95,25,"2014-10-28"
"Odisha","Paradeep","Residential",10,11,82,25,"2014-10-28"
"Telangana","Sangareddy","Industrial",14.6,54.7,124,54,"2014-10-28"
"Madhya Pradesh","Bhopal","Residential",2,22,94,63,"2014-10-29"
"Odisha","Bhubaneswar","Residential",2,19,112,15,"2014-10-29"
"Odisha","Bhubaneswar","Residential",2,24,101,43,"2014-10-29"
"Odisha","Cuttack","Residential",2,29,54,30,"2014-10-29"
"Telangana","Sangareddy","Industrial",25.8,58.8,150,69,"2014-10-29"
"Gujarat","Ankleshwar","Residential",14,21,91,31,"2014-10-30"
"Gujarat","Ankleshwar","Industrial",14,22,88,35,"2014-10-30"
"Odisha","Cuttack","Residential",3,31,105,46,"2014-10-30"
"Telangana","Sangareddy","Industrial",24.5,70.2,180,101,"2014-10-30"
"Madhya Pradesh","Bhopal","Residential",2,19,138,60,"2014-10-31"
"Odisha","Cuttack","Residential",2,25,91,43,"2014-10-31"
"Odisha","Paradeep","Industrial",10,11,183,60,"2014-10-31"
"Odisha","Paradeep","Residential",9,11,203,36,"2014-10-31"
"Telangana","Sangareddy","Industrial",12.2,60.5,134,45,"2014-10-31"
"Madhya Pradesh","Bhopal","Industrial",2,23,268,96,"2014-11-01"
"Odisha","Cuttack","Residential",2,41,163,97,"2014-11-01"
"Telangana","Sangareddy","Industrial",1.2,54.8,94,53,"2014-11-01"
"Odisha","Bhubaneswar","Residential",2,18,95,36,"2014-11-02"
"Odisha","Bhubaneswar","Residential",2,16,82,36,"2014-11-02"
"Odisha","Cuttack","Residential",2,34,108,72,"2014-11-02"
"Odisha","Paradeep","Residential",7,11,77,38,"2014-11-02"
"Odisha","Paradeep","Residential",5,14,91,51,"2014-11-02"
"Telangana","Sangareddy","Industrial",25,101.8,228,70,"2014-11-02"
"Gujarat","Jamnagar","Residential",14.81666667,20,65,24,"2014-11-03"
"Odisha","Bhubaneswar","Residential",2,16,82,41,"2014-11-03"
"Odisha","Bhubaneswar","Residential",2,21,69,7,"2014-11-03"
"Odisha","Cuttack","Residential",2,33,84,51,"2014-11-03"
"Telangana","Sangareddy","Industrial",2,37.5,62,29,"2014-11-03"
"Gujarat","Jamnagar","Residential",19.95,24,97,39,"2014-11-04"
"Madhya Pradesh","Bhopal","Residential",2,16,102,25,"2014-11-04"
"Odisha","Bhubaneswar","Residential",2,19,84,58,"2014-11-04"
"Odisha","Cuttack","Residential",2,26,72,50,"2014-11-04"
"Odisha","Paradeep","Industrial",12,10,89,38,"2014-11-04"
"Odisha","Paradeep","Residential",11,10,92,30,"2014-11-04"
"Odisha","Paradeep","Residential",8,12,82,40,"2014-11-04"
"Telangana","Sangareddy","Industrial",9.8,65.3,157,62,"2014-11-04"
"Telangana","Sangareddy","Industrial",8.4,78.6,45,44,"2014-11-05"
"Madhya Pradesh","Bhopal","Residential",2,25,180,31,"2014-11-06"
"Odisha","Bhubaneswar","Residential",2,12,41,6,"2014-11-06"
"Odisha","Cuttack","Residential",2,32,97,30,"2014-11-06"
"Telangana","Sangareddy","Industrial",0.2,40.1,32,8,"2014-11-06"
"Gujarat","Jamnagar","Residential",13,20,87,37,"2014-11-07"
"Madhya Pradesh","Bhopal","Residential",2,32,123,5,"2014-11-07"
"Odisha","Cuttack","Residential",2,24,48,33,"2014-11-07"
"Odisha","Paradeep","Industrial",11,12,29,16,"2014-11-07"
"Odisha","Paradeep","Residential",8,11,39,25,"2014-11-07"
"Telangana","Sangareddy","Industrial",1.1,28,19,4,"2014-11-07"
"Gujarat","Ahmedabad","Industrial",14.41666667,24.45,75.66666667,39,"2014-11-08"
"Gujarat","Ahmedabad","Residential",12,20,86,25,"2014-11-08"
"Gujarat","Ahmedabad","Residential",11,19,70,25,"2014-11-08"
"Gujarat","Ahmedabad","Residential",12,20,94,33,"2014-11-08"
"Gujarat","Ahmedabad","Industrial",11,20,80,32,"2014-11-08"
"Gujarat","Ahmedabad","Residential",12,20,83,34,"2014-11-08"
"Gujarat","Ankleshwar","Residential",13,21,92,28,"2014-11-08"
"Gujarat","Ankleshwar","Industrial",17,24,104,29,"2014-11-08"
"Gujarat","Rajkot","Industrial",15,22,91,41,"2014-11-08"
"Gujarat","Rajkot","Residential",12,19,74,27,"2014-11-08"
"Gujarat","Surat","Residential",15,23,97,24,"2014-11-08"
"Gujarat","Surat","Industrial",16,24,79,32,"2014-11-08"
"Gujarat","Surat","Residential",14,22,89,26,"2014-11-08"
"Gujarat","Vadodara","Industrial",16,25,107,55,"2014-11-08"
"Gujarat","Vadodara","Residential",10,17,92,37,"2014-11-08"
"Gujarat","Vadodara","Residential",13,21,88,29,"2014-11-08"
"Odisha","Bhubaneswar","Residential",2,9,56,26,"2014-11-08"
"Odisha","Bhubaneswar","Residential",2,14,39,8,"2014-11-08"
"Odisha","Bhubaneswar","Residential",2,12,39,30,"2014-11-08"
"Odisha","Cuttack","Residential",3,28,64,25,"2014-11-08"
"Telangana","Sangareddy","Industrial",2.97,29.3,27,8,"2014-11-08"
"Gujarat","Ankleshwar","Residential",14,21,87,29,"2014-11-09"
"Gujarat","Ankleshwar","Industrial",14,22,92,29,"2014-11-09"
"Odisha","Cuttack","Residential",3,29,73,31,"2014-11-09"
"Telangana","Sangareddy","Industrial",2.8,34.8,39,13,"2014-11-09"
"Madhya Pradesh","Bhopal","Industrial",2,23,157,33,"2014-11-10"
"Odisha","Cuttack","Residential",2,29,54,47,"2014-11-10"
"Telangana","Sangareddy","Industrial",8.7,43.9,166,72,"2014-11-10"
"Odisha","Bhubaneswar","Residential",2,27,112,41,"2014-11-11"
"Odisha","Bhubaneswar","Residential",2,22,115,29,"2014-11-11"
"Odisha","Cuttack","Residential",2,25,79,51,"2014-11-11"
"Odisha","Paradeep","Residential",10,13,109,32,"2014-11-11"
"Telangana","Sangareddy","Industrial",2.8,38.9,39,21,"2014-11-11"
"Gujarat","Ankleshwar","Residential",14,22,76,26,"2014-11-12"
"Gujarat","Ankleshwar","Industrial",15,23,93,30,"2014-11-12"
"Odisha","Cuttack","Residential",3,33,164,81,"2014-11-12"
"Telangana","Sangareddy","Industrial",4.6,41.2,113,75,"2014-11-12"
"Gujarat","Ankleshwar","Residential",15,22,75,27,"2014-11-13"
"Gujarat","Ankleshwar","Industrial",15,23,92,31,"2014-11-13"
"Odisha","Cuttack","Residential",4,32,122,47,"2014-11-13"
"Odisha","Paradeep","Residential",12,12,118,36,"2014-11-13"
"Telangana","Sangareddy","Industrial",5.5,59.2,71,42,"2014-11-13"
"Madhya Pradesh","Bhopal","Residential",2,13,129,22,"2014-11-14"
"Odisha","Bhubaneswar","Residential",2,32,158,33,"2014-11-14"
"Odisha","Bhubaneswar","Residential",2,23,175,41,"2014-11-14"
"Odisha","Cuttack","Residential",2,26,109,42,"2014-11-14"
"Telangana","Sangareddy","Industrial",3.9,45.7,70,37,"2014-11-14"
"Madhya Pradesh","Bhopal","Industrial",2,17,201,16,"2014-11-15"
"Odisha","Cuttack","Residential",2,27,101,56,"2014-11-15"
"Telangana","Sangareddy","Industrial",3.7,47.7,108,61,"2014-11-15"
"Telangana","Sangareddy","Industrial",5.4,55.3,137,75,"2014-11-16"
"Gujarat","Ankleshwar","Residential",13,20,84,34,"2014-11-17"
"Gujarat","Ankleshwar","Industrial",14,21,91,33,"2014-11-17"
"Madhya Pradesh","Bhopal","Industrial",2,21,159,134,"2014-11-17"
"Odisha","Bhubaneswar","Residential",2,17,86,28,"2014-11-17"
"Odisha","Bhubaneswar","Residential",2,20,180,32,"2014-11-17"
"Odisha","Cuttack","Residential",4,31,147,68,"2014-11-17"
"Telangana","Sangareddy","Industrial",9.2,57.4,146,73,"2014-11-17"
"Odisha","Bhubaneswar","Residential",2,52,108,28,"2014-11-18"
"Odisha","Cuttack","Residential",2,25,102,42,"2014-11-18"
"Odisha","Paradeep","Residential",9,11,130,37,"2014-11-18"
"Telangana","Sangareddy","Industrial",7.7,46.4,141,72,"2014-11-18"
"Odisha","Bhubaneswar","Residential",2,17,98,23,"2014-11-19"
"Telangana","Sangareddy","Industrial",11.7,62.7,151,75,"2014-11-19"
"Gujarat","Ankleshwar","Residential",15,22,92,32,"2014-11-20"
"Gujarat","Ankleshwar","Industrial",16,23,82,38,"2014-11-20"
"Odisha","Bhubaneswar","Residential",2,27,166,28,"2014-11-20"
"Odisha","Cuttack","Residential",4,34,147,72,"2014-11-20"
"Odisha","Paradeep","Residential",14,11,129,36,"2014-11-20"
"Telangana","Sangareddy","Industrial",18.2,76,187,95,"2014-11-20"
"Madhya Pradesh","Bhopal","Residential",2,6,133,84,"2014-11-21"
"Odisha","Bhubaneswar","Residential",2,18,106,31,"2014-11-21"
"Odisha","Bhubaneswar","Residential",2,26,132,24,"2014-11-21"
"Odisha","Cuttack","Residential",2,24,137,50,"2014-11-21"
"Telangana","Sangareddy","Industrial",15,63.9,154,71,"2014-11-21"
"Madhya Pradesh","Bhopal","Industrial",2,9,247,22,"2014-11-22"
"Odisha","Cuttack","Residential",2,28,104,47,"2014-11-22"
"Telangana","Sangareddy","Industrial",8.9,70.2,167,83,"2014-11-22"
"Telangana","Sangareddy","Industrial",8.3,56.8,143,79,"2014-11-23"
"Gujarat","Ankleshwar","Residential",13,22,81,29,"2014-11-24"
"Gujarat","Ankleshwar","Industrial",14,21,92,29,"2014-11-24"
"Madhya Pradesh","Bhopal","Industrial",2,8,234,153,"2014-11-24"
"Odisha","Cuttack","Residential",4,34,175,86,"2014-11-24"
"Telangana","Sangareddy","Industrial",12.3,56.4,165,89,"2014-11-24"
"Odisha","Bhubaneswar","Residential",2,17,199,41,"2014-11-25"
"Odisha","Bhubaneswar","Residential",2,22,164,19,"2014-11-25"
"Odisha","Cuttack","Residential",2,26,113,55,"2014-11-25"
"Odisha","Paradeep","Residential",16,11,127,34,"2014-11-25"
"Telangana","Sangareddy","Industrial",18.7,61.5,204,96,"2014-11-25"
"Madhya Pradesh","Bhopal","Residential",2,5,121,44,"2014-11-26"
"Odisha","Bhubaneswar","Residential",2,28,207,20,"2014-11-26"
"Odisha","Cuttack","Residential",2,28,89,51,"2014-11-26"
"Telangana","Sangareddy","Industrial",18.6,67.4,179,85,"2014-11-26"
"Gujarat","Ankleshwar","Residential",14,21,87,31,"2014-11-27"
"Gujarat","Ankleshwar","Industrial",15,22,83,35,"2014-11-27"
"Odisha","Cuttack","Residential",3,32,154,76,"2014-11-27"
"Telangana","Sangareddy","Industrial",15.6,61.9,144,64,"2014-11-27"
"Odisha","Bhubaneswar","Residential",2,17,170,33,"2014-11-28"
"Odisha","Bhubaneswar","Residential",2,36,143,21,"2014-11-28"
"Odisha","Bhubaneswar","Residential",2,40,170,32,"2014-11-28"
"Odisha","Cuttack","Residential",2,26,104,54,"2014-11-28"
"Odisha","Paradeep","Residential",11,11,168,64,"2014-11-28"
"Telangana","Sangareddy","Industrial",15.4,64.3,177,83,"2014-11-28"
"Madhya Pradesh","Bhopal","Industrial",2,6,177,138,"2014-11-29"
"Odisha","Cuttack","Residential",2,29,122,60,"2014-11-29"
"Telangana","Sangareddy","Industrial",12.8,77.4,184,75,"2014-11-29"
"Telangana","Sangareddy","Industrial",10.4,85.3,143,59,"2014-11-30"
"Telangana","Sangareddy","Industrial",0.9,52.8,85,51,"2014-12-01"
"Madhya Pradesh","Bhopal","Residential",2,46,129,29,"2014-12-02"
"Odisha","Bhubaneswar","Residential",2,28,136,63,"2014-12-02"
"Odisha","Cuttack","Residential",2,37,172,86,"2014-12-02"
"Telangana","Sangareddy","Industrial",7.8,85.2,104,47,"2014-12-02"
"Madhya Pradesh","Bhopal","Residential",2,22,108,25,"2014-12-03"
"Odisha","Bhubaneswar","Residential",2,18,54,29,"2014-12-03"
"Odisha","Cuttack","Residential",2,32,112,51,"2014-12-03"
"Telangana","Sangareddy","Industrial",3,43,64,33,"2014-12-03"
"Madhya Pradesh","Bhopal","Industrial",2,20,204,99,"2014-12-04"
"Telangana","Sangareddy","Industrial",9.2,77.4,139,52,"2014-12-04"
"Gujarat","Ahmedabad","Industrial",14.31666667,20.71666667,98.66666667,35,"2014-12-05"
"Gujarat","Ahmedabad","Residential",15,22,92,36,"2014-12-05"
"Gujarat","Ahmedabad","Residential",13,21,84,36,"2014-12-05"
"Gujarat","Ahmedabad","Residential",13,21,84,36,"2014-12-05"
"Gujarat","Ahmedabad","Industrial",13,21,94,35,"2014-12-05"
"Gujarat","Ahmedabad","Residential",13,20,86,29,"2014-12-05"
"Gujarat","Ankleshwar","Residential",14,23,101,45,"2014-12-05"
"Gujarat","Ankleshwar","Industrial",17,26,97,39,"2014-12-05"
"Gujarat","Rajkot","Industrial",13,20,107,42,"2014-12-05"
"Gujarat","Rajkot","Residential",14,22,86,25,"2014-12-05"
"Gujarat","Surat","Residential",16,20,83,31,"2014-12-05"
"Gujarat","Surat","Industrial",15,21,91,35,"2014-12-05"
"Gujarat","Surat","Residential",14,20,88,33,"2014-12-05"
"Gujarat","Vadodara","Industrial",14,21,95,39,"2014-12-05"
"Gujarat","Vadodara","Residential",15,21,81,35,"2014-12-05"
"Gujarat","Vadodara","Residential",16,23,105,45,"2014-12-05"
"Gujarat","Vapi","Residential",17,24,97,41,"2014-12-05"
"Gujarat","Vapi","Industrial",17,25,104,43,"2014-12-05"
"Madhya Pradesh","Bhopal","Industrial",2,24,140,162,"2014-12-05"
"Odisha","Cuttack","Residential",3,31,95,53,"2014-12-05"
"Telangana","Sangareddy","Industrial",7.3,61,54,32,"2014-12-05"
"Gujarat","Ahmedabad","Industrial",15.76666667,23.6,102.3333333,29,"2014-12-06"
"Gujarat","Ahmedabad","Residential",13,20,98,41,"2014-12-06"
"Gujarat","Ahmedabad","Residential",12,20,83,32,"2014-12-06"
"Gujarat","Ahmedabad","Residential",12,19,79,30,"2014-12-06"
"Gujarat","Ahmedabad","Industrial",13,20,81,24,"2014-12-06"
"Gujarat","Ahmedabad","Residential",12,19,86,22,"2014-12-06"
"Gujarat","Ankleshwar","Residential",14,22,106,33,"2014-12-06"
"Gujarat","Ankleshwar","Industrial",16,23,99,29,"2014-12-06"
"Gujarat","Rajkot","Industrial",12,20,114,43,"2014-12-06"
"Gujarat","Rajkot","Residential",12,18,78,32,"2014-12-06"
"Gujarat","Surat","Residential",15,23,93,29,"2014-12-06"
"Gujarat","Surat","Industrial",17,24,96,26,"2014-12-06"
"Gujarat","Surat","Residential",13,20,101,41,"2014-12-06"
"Gujarat","Vadodara","Industrial",14,22,104,33,"2014-12-06"
"Gujarat","Vadodara","Residential",12,18,84,29,"2014-12-06"
"Gujarat","Vadodara","Residential",13,20,84,39,"2014-12-06"
"Gujarat","Vapi","Residential",16,23,105,45,"2014-12-06"
"Gujarat","Vapi","Industrial",16,23,97,33,"2014-12-06"
"Odisha","Bhubaneswar","Residential",2,16,59,12,"2014-12-06"
"Odisha","Cuttack","Residential",4,34,115,44,"2014-12-06"
"Telangana","Sangareddy","Industrial",0.4,40.7,54,14,"2014-12-06"
"Odisha","Cuttack","Residential",2,31,66,30,"2014-12-07"
"Telangana","Sangareddy","Industrial",1.3,28.4,27,7,"2014-12-07"
"Gujarat","Jamnagar","Residential",14.01666667,22,94,54,"2014-12-08"
"Odisha","Bhubaneswar","Residential",2,13,62,14,"2014-12-08"
"Odisha","Cuttack","Residential",3,23,41,27,"2014-12-08"
"Odisha","Paradeep","Industrial",8,11,50,20,"2014-12-08"
"Odisha","Paradeep","Residential",9,12,38,19,"2014-12-08"
"Telangana","Sangareddy","Industrial",3.6,35,45,13,"2014-12-08"
"Madhya Pradesh","Bhopal","Residential",2,22,105,70,"2014-12-09"
"Odisha","Cuttack","Residential",2,25,42,29,"2014-12-09"
"Odisha","Paradeep","Industrial",10,11,59,20,"2014-12-09"
"Odisha","Paradeep","Residential",9,11,46,26,"2014-12-09"
"Telangana","Sangareddy","Industrial",2.4,36.5,35,15,"2014-12-09"
"Telangana","Sangareddy","Industrial",7.3,43.3,155,45,"2014-12-10"
"Madhya Pradesh","Bhopal","Residential",2,9,120,77,"2014-12-11"
"Odisha","Cuttack","Residential",2,30,86,52,"2014-12-11"
"Telangana","Sangareddy","Industrial",5.2,48.7,58,30,"2014-12-11"
"Madhya Pradesh","Bhopal","Residential",2,16,177,108,"2014-12-12"
"Odisha","Bhubaneswar","Residential",2,22,262,41,"2014-12-12"
"Odisha","Bhubaneswar","Residential",2,22,147,68,"2014-12-12"
"Odisha","Cuttack","Residential",2,25,112,71,"2014-12-12"
"Telangana","Sangareddy","Industrial",6.6,48.5,127,79,"2014-12-12"
"Madhya Pradesh","Bhopal","Industrial",2,8,105,67,"2014-12-13"
"Odisha","Cuttack","Residential",2,25,102,61,"2014-12-13"
"Odisha","Paradeep","Industrial",11,13,155,59,"2014-12-13"
"Odisha","Paradeep","Residential",9,11,67,30,"2014-12-13"
"Telangana","Sangareddy","Industrial",3.6,44.4,114,77,"2014-12-13"
"Telangana","Sangareddy","Industrial",2.9,47.3,90,55,"2014-12-14"
"Gujarat","Ankleshwar","Residential",14,20,83,32,"2014-12-15"
"Gujarat","Ankleshwar","Industrial",14,21,76,25,"2014-12-15"
"Madhya Pradesh","Bhopal","Industrial",2,10,161,106,"2014-12-15"
"Odisha","Cuttack","Residential",3,33,147,85,"2014-12-15"
"Telangana","Sangareddy","Industrial",6.2,48.4,96,47,"2014-12-15"
"Odisha","Bhubaneswar","Residential",2,19,147,40,"2014-12-16"
"Odisha","Bhubaneswar","Residential",2,30,168,63,"2014-12-16"
"Odisha","Cuttack","Residential",2,26,106,71,"2014-12-16"
"Odisha","Paradeep","Industrial",11,11,101,47,"2014-12-16"
"Odisha","Paradeep","Residential",11,11,102,46,"2014-12-16"
"Telangana","Sangareddy","Industrial",12.5,59.9,146,83,"2014-12-16"
"Madhya Pradesh","Bhopal","Residential",2,9,130,76,"2014-12-17"
"Odisha","Cuttack","Residential",2,25,99,56,"2014-12-17"
"Telangana","Sangareddy","Industrial",16.3,67.6,147,67,"2014-12-17"
"Gujarat","Ankleshwar","Residential",14,19,85,27,"2014-12-18"
"Gujarat","Ankleshwar","Industrial",14,21,87,36,"2014-12-18"
"Odisha","Cuttack","Residential",4,33,184,81,"2014-12-18"
"Telangana","Sangareddy","Industrial",28.5,73.9,151,67,"2014-12-18"
"Madhya Pradesh","Bhopal","Residential",2,6,376,27,"2014-12-19"
"Odisha","Bhubaneswar","Residential",2,20,237,78,"2014-12-19"
"Odisha","Bhubaneswar","Residential",2,25,147,45,"2014-12-19"
"Odisha","Cuttack","Residential",2,24,93,67,"2014-12-19"
"Telangana","Sangareddy","Industrial",20,77.4,178,89,"2014-12-19"
"Madhya Pradesh","Bhopal","Industrial",2,12,262,57,"2014-12-20"
"Odisha","Cuttack","Residential",2,24,106,69,"2014-12-20"
"Telangana","Sangareddy","Industrial",26.1,70.8,164,77,"2014-12-20"
"Telangana","Sangareddy","Industrial",20.2,80.4,175,90,"2014-12-21"
"Gujarat","Ankleshwar","Residential",15,18,84,26,"2014-12-22"
"Gujarat","Ankleshwar","Industrial",15,22,94,29,"2014-12-22"
"Madhya Pradesh","Bhopal","Industrial",2,13,253,145,"2014-12-22"
"Odisha","Bhubaneswar","Residential",2,28,164,44,"2014-12-22"
